epoch,train_loss,val_mae,val_rmse,val_r2
1,3.61914,1.2154,1.4912,0.0517
2,2.735103,1.1544,1.5076,0.0307
3,2.647408,1.1216,1.3933,0.1721
4,2.424438,1.0786,1.3195,0.2575
5,2.137642,1.0019,1.2205,0.3647
6,1.706605,0.976,1.1853,0.4008
7,1.474181,0.8275,1.0294,0.5482
8,1.124781,0.8591,1.0414,0.5375
9,1.036337,0.7363,0.9467,0.6178
10,0.957691,0.7452,0.9422,0.6214
11,0.794637,0.7305,0.9189,0.6399
12,0.73695,0.688,0.963,0.6045
13,0.733352,0.6221,0.8745,0.6739
14,0.630995,0.6456,0.8943,0.659
15,0.612729,0.6243,0.8739,0.6743
16,0.56823,0.6412,0.8919,0.6608
17,0.568577,0.6452,0.8963,0.6574
18,0.54506,0.6801,0.9059,0.65
19,0.512818,0.6633,0.8918,0.6609
20,0.491921,0.6442,0.8706,0.6768
21,0.506367,0.6355,0.8715,0.6761
22,0.432354,0.6679,0.8886,0.6633
23,0.411183,0.6992,0.9568,0.6096
