epoch,train_loss,val_mae,val_rmse,val_r2
1,4.860661,1.6034,2.0653,-0.8189
2,3.698159,1.3666,1.7705,-0.3367
3,3.149594,1.2652,1.6198,-0.1189
4,2.963923,1.2195,1.5457,-0.0189
5,2.874702,1.1994,1.513,0.0237
6,2.815214,1.1861,1.4875,0.0564
7,2.791,1.173,1.4749,0.0724
8,2.741149,1.1612,1.4637,0.0863
9,2.725302,1.1484,1.4479,0.106
10,2.701457,1.1407,1.4321,0.1254
11,2.646488,1.1313,1.4245,0.1346
12,2.629239,1.1266,1.4095,0.1528
13,2.619538,1.1204,1.4036,0.1599
14,2.596102,1.1182,1.3938,0.1716
15,2.57619,1.11,1.3963,0.1685
16,2.582853,1.1095,1.3882,0.1782
17,2.539445,1.1106,1.3758,0.1928
18,2.556328,1.1056,1.374,0.1949
19,2.515019,1.1057,1.3661,0.2042
20,2.512216,1.098,1.3677,0.2023
21,2.503856,1.0931,1.3659,0.2043
22,2.493685,1.0968,1.3538,0.2184
23,2.468954,1.0944,1.3492,0.2238
24,2.48819,1.0918,1.346,0.2274
25,2.459163,1.0801,1.3535,0.2188
26,2.476863,1.0882,1.3405,0.2337
27,2.503408,1.0772,1.3474,0.2258
28,2.443806,1.0809,1.3379,0.2367
29,2.387423,1.0745,1.3393,0.235
30,2.371975,1.0713,1.3367,0.238
31,2.418735,1.0732,1.3294,0.2464
32,2.384177,1.0672,1.3321,0.2433
33,2.384679,1.0712,1.3217,0.255
34,2.326268,1.0641,1.3242,0.2522
35,2.364865,1.0626,1.3206,0.2563
36,2.387726,1.0582,1.3218,0.255
37,2.421642,1.0568,1.3176,0.2597
38,2.3521,1.0572,1.3128,0.2651
39,2.336493,1.058,1.3057,0.273
40,2.322946,1.0604,1.2995,0.2799
41,2.396279,1.0459,1.3168,0.2606
42,2.3143,1.0503,1.3008,0.2785
43,2.342224,1.043,1.3113,0.2667
44,2.312714,1.0437,1.3001,0.2792
45,2.372345,1.0435,1.2959,0.2838
46,2.340011,1.0386,1.3012,0.278
47,2.351865,1.0376,1.2961,0.2837
48,2.274072,1.0354,1.2975,0.2821
49,2.322277,1.0347,1.291,0.2893
50,2.305995,1.0333,1.2876,0.2929
