epoch,train_loss,val_mae,val_rmse,val_r2
1,1.377783,0.7854,1.0295,0.548
2,0.635937,0.6506,0.8516,0.6907
3,0.590275,0.8433,1.0641,0.5171
4,0.594719,0.6803,0.9951,0.5777
5,0.588922,0.7752,1.0296,0.548
6,0.477407,0.6117,0.8561,0.6874
7,0.334351,0.6447,0.9124,0.645
8,0.370748,0.6467,0.899,0.6554
9,0.325151,0.6351,0.8778,0.6714
10,0.340902,0.5672,0.8492,0.6925
11,0.272926,0.6608,0.8586,0.6856
12,0.236693,0.5533,0.8093,0.7207
13,0.268463,0.6278,0.884,0.6667
14,0.238458,0.656,0.9233,0.6365
15,0.239228,0.6136,0.8523,0.6902
16,0.207176,0.7062,0.9567,0.6096
17,0.211307,0.5489,0.7991,0.7277
18,0.264782,0.6835,0.875,0.6735
19,0.315098,0.6029,0.8257,0.7093
20,0.194556,0.547,0.7909,0.7333
21,0.157225,0.5727,0.8006,0.7267
22,0.206264,0.5661,0.8394,0.6995
23,0.179444,0.5586,0.8121,0.7188
24,0.195696,0.6064,0.8227,0.7114
25,0.170261,0.5496,0.797,0.7291
26,0.197801,0.6549,0.8609,0.6839
27,0.175552,0.594,0.8103,0.72
28,0.123568,0.5219,0.7824,0.7389
29,0.146078,0.6417,0.8698,0.6774
30,0.134674,0.5928,0.8084,0.7213
31,0.106295,0.5041,0.7505,0.7598
32,0.122584,0.5938,0.8203,0.7131
33,0.159233,0.6579,0.8807,0.6693
34,0.177702,0.5836,0.8024,0.7254
35,0.123273,0.5624,0.7829,0.7386
36,0.123297,0.5169,0.7267,0.7748
37,0.106233,0.5908,0.8029,0.7251
38,0.098119,0.5269,0.7674,0.7489
39,0.115918,0.5248,0.771,0.7465
40,0.105124,0.5922,0.8141,0.7174
41,0.113816,0.5287,0.7698,0.7473
42,0.100167,0.5407,0.7651,0.7504
43,0.095716,0.4596,0.7325,0.7712
44,0.106937,0.5537,0.8189,0.7141
45,0.096617,0.5767,0.8079,0.7217
46,0.090288,0.516,0.7444,0.7637
47,0.083109,0.5205,0.7608,0.7532
48,0.106827,0.4922,0.7322,0.7714
49,0.09309,0.5228,0.7777,0.742
50,0.088091,0.512,0.7591,0.7543
51,0.09634,0.5324,0.7727,0.7454
52,0.064943,0.5464,0.7749,0.7439
53,0.077309,0.6571,0.8926,0.6603
54,0.085184,0.571,0.8376,0.7008
55,0.08647,0.5274,0.7512,0.7594
56,0.065611,0.5108,0.7594,0.7541
57,0.081018,0.518,0.7372,0.7683
58,0.070203,0.4989,0.7313,0.7719
