epoch,train_loss,val_mae,val_rmse,val_r2
1,1.936635,0.6864,0.9891,0.5828
2,0.494179,0.6429,1.0558,0.5247
3,0.409157,0.6557,1.0656,0.5158
4,0.363263,0.6887,1.1055,0.4788
5,0.367544,0.6583,1.0657,0.5157
6,0.43903,0.6126,1.0579,0.5227
7,0.309693,0.5886,1.0095,0.5654
8,0.299456,0.7089,1.0843,0.4987
9,0.211791,0.5842,0.983,0.5879
10,0.239309,0.6245,1.0468,0.5327
11,0.356033,0.6439,1.066,0.5154
12,0.317728,0.6412,1.0866,0.4965
13,0.231678,0.6764,1.0926,0.491
14,0.226274,0.6929,1.1197,0.4654
15,0.222466,0.6677,1.0857,0.4974
16,0.220554,0.6725,1.0772,0.5052
17,0.243767,0.6331,1.0554,0.525
18,0.195434,0.6825,1.071,0.5108
19,0.197993,0.6602,1.0907,0.4927
20,0.185522,0.6472,1.0587,0.522
21,0.193084,0.5683,0.9476,0.6171
22,0.201594,0.5952,1.0123,0.563
23,0.175016,0.6308,1.0075,0.5671
24,0.159246,0.7056,1.0964,0.4874
25,0.218787,0.6254,1.042,0.537
26,0.179404,0.6817,1.1014,0.4827
27,0.191843,0.5972,0.9872,0.5844
28,0.207039,0.5904,1.0128,0.5626
29,0.139718,0.5763,0.9916,0.5807
30,0.183124,0.6342,1.0244,0.5525
31,0.130674,0.6297,1.0176,0.5584
32,0.151762,0.6328,1.0375,0.541
33,0.134761,0.5691,0.9474,0.6173
34,0.101539,0.5488,0.9234,0.6364
35,0.109528,0.593,0.9324,0.6292
36,0.133754,0.5992,0.9774,0.5926
37,0.12185,0.581,0.9422,0.6214
38,0.108706,0.5769,0.9574,0.6091
39,0.125725,0.5378,0.9076,0.6487
40,0.120807,0.5847,0.9754,0.5943
41,0.109407,0.5253,0.8823,0.668
42,0.104568,0.6218,0.9665,0.6017
43,0.091594,0.5834,0.9334,0.6285
44,0.082022,0.5972,0.9436,0.6203
45,0.10942,0.5749,0.9337,0.6282
46,0.114825,0.6058,0.9167,0.6417
47,0.11598,0.5677,0.8627,0.6826
48,0.100543,0.6145,0.9095,0.6473
49,0.088092,0.5742,0.9369,0.6256
50,0.084153,0.6427,0.9845,0.5867
51,0.080966,0.5815,0.924,0.6359
52,0.098743,0.5547,0.9094,0.6473
53,0.071551,0.4962,0.83,0.7062
54,0.089168,0.5869,0.93,0.6311
55,0.070636,0.6238,0.9542,0.6118
56,0.080711,0.5353,0.9034,0.652
57,0.063094,0.5504,0.8822,0.6681
58,0.084371,0.6658,0.9766,0.5933
59,0.068738,0.5637,0.9199,0.6391
60,0.078323,0.5427,0.839,0.6998
61,0.073364,0.6589,0.9992,0.5742
62,0.081983,0.6021,0.8941,0.6591
63,0.087326,0.5853,0.9306,0.6307
64,0.092175,0.6145,0.9308,0.6306
65,0.099673,0.569,0.8828,0.6676
66,0.093723,0.5161,0.7919,0.7326
67,0.06682,0.5309,0.8419,0.6977
68,0.063809,0.4834,0.7452,0.7632
69,0.067244,0.5257,0.8143,0.7172
70,0.076239,0.5051,0.7782,0.7418
71,0.070443,0.5128,0.7961,0.7297
72,0.056377,0.5989,0.9026,0.6526
73,0.074068,0.6292,0.9769,0.593
74,0.061713,0.6593,0.9729,0.5963
75,0.049705,0.6387,0.9548,0.6112
76,0.064701,0.5558,0.8877,0.6639
77,0.054094,0.5352,0.8381,0.7005
78,0.068666,0.5468,0.8329,0.7042
79,0.057573,0.5412,0.8683,0.6785
80,0.057586,0.5464,0.871,0.6765
81,0.06863,0.6009,0.9427,0.621
82,0.058989,0.5194,0.8613,0.6836
83,0.052983,0.5968,0.9301,0.6311
