epoch,train_loss,val_mae,val_rmse,val_r2
1,1.812141,0.9005,1.1588,0.4274
2,0.739096,0.6257,0.8657,0.6804
3,0.392619,0.7016,1.0634,0.5178
4,0.341356,0.6265,1.0103,0.5647
5,0.363594,0.69,1.0526,0.5275
6,0.307667,0.7071,1.059,0.5217
7,0.24366,0.6565,0.9756,0.5941
8,0.319942,0.6095,0.9397,0.6235
9,0.262505,0.5973,0.9369,0.6257
10,0.275858,0.7208,1.0624,0.5187
11,0.249046,0.6596,1.0073,0.5673
12,0.234932,0.6701,1.0153,0.5604
13,0.303199,0.6309,0.9279,0.6328
14,0.239766,0.5476,0.9099,0.6469
15,0.213805,0.5501,0.8882,0.6636
16,0.1827,0.5597,0.9156,0.6425
17,0.217334,0.562,0.8773,0.6718
18,0.171068,0.6444,0.956,0.6103
19,0.164869,0.6465,0.9858,0.5856
20,0.201185,0.6264,0.9866,0.5849
21,0.185886,0.5534,0.9089,0.6477
22,0.159386,0.6095,0.9724,0.5968
23,0.161043,0.5841,0.9464,0.6181
24,0.154754,0.5451,0.8779,0.6713
25,0.146769,0.5505,0.9089,0.6477
26,0.154357,0.5792,0.9405,0.6228
27,0.116937,0.5986,0.9204,0.6388
28,0.162789,0.5621,0.9161,0.6421
29,0.136136,0.6526,0.9908,0.5813
30,0.160835,0.6494,1.0158,0.56
31,0.116289,0.5431,0.9578,0.6088
32,0.146514,0.5565,0.9231,0.6366
33,0.14263,0.5777,0.9392,0.6239
34,0.103018,0.6049,0.9647,0.6031
35,0.122364,0.5721,0.9606,0.6065
36,0.13473,0.5615,0.958,0.6086
37,0.087365,0.5024,0.9039,0.6516
38,0.109848,0.5991,0.9747,0.5948
39,0.130043,0.586,0.9462,0.6182
40,0.1306,0.5431,0.9551,0.611
41,0.079033,0.6273,1.0097,0.5652
42,0.129818,0.5846,0.982,0.5888
43,0.099344,0.6031,0.9895,0.5825
44,0.087249,0.5959,0.9417,0.6218
45,0.091194,0.5732,0.9432,0.6206
46,0.074432,0.5719,0.9527,0.6129
47,0.07461,0.5793,0.9569,0.6096
48,0.090621,0.5522,0.9335,0.6284
49,0.089778,0.6,0.9847,0.5865
50,0.084975,0.5646,0.946,0.6184
51,0.08718,0.5438,0.904,0.6515
52,0.092389,0.5762,0.9722,0.5969
