epoch,train_loss,val_mae,val_rmse,val_r2
1,5.385774,1.9122,2.3939,-1.4438
2,4.993225,1.8703,2.3001,-1.256
3,4.6309,1.8248,2.2101,-1.083
4,4.282581,1.7716,2.1216,-0.9196
5,3.971245,1.7075,2.0319,-0.7606
6,3.686305,1.6333,1.9455,-0.6141
7,3.37921,1.5596,1.865,-0.4833
8,3.136341,1.4905,1.7903,-0.3668
9,2.868538,1.4452,1.7218,-0.2643
10,2.642815,1.4078,1.6628,-0.1791
11,2.439166,1.3742,1.6154,-0.1128
12,2.256673,1.3456,1.5731,-0.0553
13,2.118756,1.3154,1.5379,-0.0086
14,1.991255,1.2844,1.5062,0.0326
15,1.880599,1.2565,1.4766,0.0701
16,1.735493,1.2281,1.4488,0.1049
17,1.62003,1.201,1.4245,0.1347
18,1.559299,1.1678,1.3973,0.1674
19,1.50175,1.1341,1.3712,0.1982
20,1.397234,1.1029,1.3496,0.2232
21,1.340209,1.0723,1.3307,0.2449
22,1.250833,1.0502,1.3187,0.2584
23,1.208249,1.0198,1.2993,0.2801
24,1.143297,1.0034,1.2924,0.2877
25,1.144239,0.9942,1.2822,0.2989
26,1.095394,0.9898,1.2695,0.3128
27,1.060565,0.9878,1.2631,0.3197
28,1.069867,0.9905,1.2679,0.3145
29,1.101785,0.9816,1.2491,0.3346
30,1.075776,0.985,1.2563,0.3269
31,1.036541,0.9855,1.2574,0.3258
32,1.016478,0.9821,1.2503,0.3333
33,1.045275,0.9831,1.2528,0.3307
34,1.051363,0.9825,1.2514,0.3322
35,1.039798,0.9808,1.2481,0.3357
36,1.030692,0.9767,1.2399,0.3444
37,1.067412,0.9814,1.2504,0.3333
38,1.040094,0.9789,1.2452,0.3388
39,1.032975,0.982,1.2537,0.3297
40,1.032615,0.9761,1.2409,0.3433
41,1.064689,0.9738,1.236,0.3485
42,1.039302,0.9765,1.2418,0.3423
43,1.05488,0.9777,1.2451,0.3389
44,1.013137,0.9712,1.232,0.3527
45,1.022812,0.9762,1.2432,0.3409
46,0.995161,0.9758,1.2427,0.3415
47,0.997796,0.9784,1.2499,0.3338
48,1.043618,0.9766,1.2457,0.3382
49,1.030158,0.9718,1.235,0.3496
50,1.016714,0.9697,1.231,0.3538
51,1.010662,0.9737,1.2403,0.3439
52,1.023406,0.9726,1.2381,0.3463
53,1.002374,0.9725,1.2387,0.3457
54,1.045045,0.9638,1.2202,0.3651
55,1.019588,0.9717,1.2373,0.3472
56,0.989393,0.9673,1.228,0.357
57,1.010421,0.9717,1.2383,0.3461
58,0.989196,0.9692,1.2326,0.3521
59,1.024456,0.9699,1.2344,0.3503
60,1.014332,0.971,1.2381,0.3463
61,0.985103,0.9664,1.2269,0.3581
62,0.996923,0.9649,1.225,0.36
63,0.994154,0.9697,1.2364,0.3481
64,0.979285,0.9696,1.2362,0.3483
65,0.955191,0.9662,1.2292,0.3556
66,0.985225,0.969,1.2352,0.3494
67,1.040987,0.9672,1.2319,0.3529
68,1.031434,0.9672,1.2325,0.3522
69,0.950621,0.9658,1.2295,0.3554
