epoch,train_loss,val_mae,val_rmse,val_r2
1,3.798138,1.0578,1.4541,0.0983
2,1.556624,0.8559,1.164,0.4222
3,0.854991,0.8078,1.1331,0.4525
4,0.633324,0.7527,1.1234,0.4618
5,0.525131,0.709,1.1107,0.4739
6,0.455042,0.7531,1.1379,0.4478
7,0.361405,0.775,1.2018,0.3841
8,0.49808,0.7459,1.203,0.3828
9,0.395337,0.8837,1.3277,0.2482
10,0.511193,0.8189,1.2647,0.318
11,0.396333,0.7267,1.2115,0.3741
12,0.30564,0.7724,1.2591,0.324
13,0.365902,0.706,1.19,0.3961
14,0.41027,0.722,1.2051,0.3806
15,0.428477,0.6924,1.165,0.4213
16,0.329682,0.6903,1.1585,0.4277
17,0.340742,0.7144,1.1615,0.4247
18,0.296899,0.7076,1.1493,0.4367
19,0.330118,0.6964,1.1361,0.4496
20,0.311481,0.731,1.1926,0.3935
21,0.287933,0.6828,1.1526,0.4335
22,0.291894,0.7119,1.1806,0.4056
23,0.241221,0.6796,1.1502,0.4359
24,0.294688,0.7242,1.2042,0.3816
25,0.266751,0.6696,1.1574,0.4288
26,0.304206,0.6929,1.1607,0.4255
27,0.383582,0.772,1.2378,0.3466
28,0.407194,0.7655,1.248,0.3358
29,0.209626,0.7021,1.17,0.4163
30,0.267846,0.68,1.1427,0.4432
31,0.241564,0.6912,1.1813,0.4049
32,0.215016,0.6495,1.1222,0.463
33,0.317687,0.6936,1.1399,0.4459
34,0.341386,0.7122,1.1863,0.3999
35,0.313577,0.6972,1.1378,0.448
36,0.217613,0.7083,1.1502,0.4359
37,0.264571,0.6977,1.1379,0.4479
38,0.26728,0.6666,1.1256,0.4597
39,0.271929,0.6842,1.151,0.435
40,0.221187,0.6685,1.143,0.4429
41,0.181899,0.6705,1.1444,0.4415
42,0.265176,0.6619,1.178,0.4082
43,0.216705,0.685,1.1446,0.4414
44,0.201672,0.6932,1.1696,0.4166
45,0.219783,0.6878,1.1574,0.4287
46,0.188982,0.6715,1.1375,0.4483
47,0.291364,0.7253,1.1717,0.4146
